datetime,Car Park Id,Short Description,Date,Occupancy,Occupancy Percentage,Override Active,State,latitude,longitude
2018-12-05 18:55:00,C18184,Bath Road North,2018-12-05 18:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 19:00:00,C18184,Bath Road North,2018-12-05 19:00:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-05 19:05:00,C18184,Bath Road North,2018-12-05 19:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 19:10:00,C18184,Bath Road North,2018-12-05 19:10:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-05 19:15:00,C18184,Bath Road North,2018-12-05 19:15:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 19:20:00,C18184,Bath Road North,2018-12-05 19:20:00,3,2.73,false,Spaces,50.717436,-1.873769
2018-12-05 19:25:00,C18184,Bath Road North,2018-12-05 19:25:00,4,3.64,false,Spaces,50.717436,-1.873769
2018-12-05 19:30:00,C18184,Bath Road North,2018-12-05 19:30:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 19:35:00,C18184,Bath Road North,2018-12-05 19:35:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-05 19:40:00,C18184,Bath Road North,2018-12-05 19:40:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-05 19:45:00,C18184,Bath Road North,2018-12-05 19:45:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 19:50:00,C18184,Bath Road North,2018-12-05 19:50:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 19:55:00,C18184,Bath Road North,2018-12-05 19:55:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 20:00:00,C18184,Bath Road North,2018-12-05 20:00:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-05 20:05:00,C18184,Bath Road North,2018-12-05 20:05:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 20:10:00,C18184,Bath Road North,2018-12-05 20:10:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 20:15:00,C18184,Bath Road North,2018-12-05 20:15:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-05 20:20:00,C18184,Bath Road North,2018-12-05 20:20:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-05 20:25:00,C18184,Bath Road North,2018-12-05 20:25:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 20:30:00,C18184,Bath Road North,2018-12-05 20:30:00,8,7.27,false,Spaces,50.717436,-1.873769
2018-12-05 20:35:00,C18184,Bath Road North,2018-12-05 20:35:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-05 20:40:00,C18184,Bath Road North,2018-12-05 20:40:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-05 20:45:00,C18184,Bath Road North,2018-12-05 20:45:00,6,5.45,false,Spaces,50.717436,-1.873769
2018-12-05 20:50:00,C18184,Bath Road North,2018-12-05 20:50:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-05 20:55:00,C18184,Bath Road North,2018-12-05 20:55:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-05 21:00:00,C18184,Bath Road North,2018-12-05 21:00:00,4,3.64,false,Spaces,50.717436,-1.873769
2018-12-05 21:05:00,C18184,Bath Road North,2018-12-05 21:05:00,3,2.73,false,Spaces,50.717436,-1.873769
2018-12-05 21:10:00,C18184,Bath Road North,2018-12-05 21:10:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:15:00,C18184,Bath Road North,2018-12-05 21:15:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:20:00,C18184,Bath Road North,2018-12-05 21:20:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:25:00,C18184,Bath Road North,2018-12-05 21:25:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:30:00,C18184,Bath Road North,2018-12-05 21:30:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:35:00,C18184,Bath Road North,2018-12-05 21:35:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-05 21:40:00,C18184,Bath Road North,2018-12-05 21:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 21:45:00,C18184,Bath Road North,2018-12-05 21:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 21:50:00,C18184,Bath Road North,2018-12-05 21:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 21:55:00,C18184,Bath Road North,2018-12-05 21:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:00:00,C18184,Bath Road North,2018-12-05 22:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:05:00,C18184,Bath Road North,2018-12-05 22:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:10:00,C18184,Bath Road North,2018-12-05 22:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:15:00,C18184,Bath Road North,2018-12-05 22:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:20:00,C18184,Bath Road North,2018-12-05 22:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:25:00,C18184,Bath Road North,2018-12-05 22:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:30:00,C18184,Bath Road North,2018-12-05 22:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:35:00,C18184,Bath Road North,2018-12-05 22:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:40:00,C18184,Bath Road North,2018-12-05 22:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:45:00,C18184,Bath Road North,2018-12-05 22:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:50:00,C18184,Bath Road North,2018-12-05 22:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 22:55:00,C18184,Bath Road North,2018-12-05 22:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:00:00,C18184,Bath Road North,2018-12-05 23:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:05:00,C18184,Bath Road North,2018-12-05 23:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:10:00,C18184,Bath Road North,2018-12-05 23:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:15:00,C18184,Bath Road North,2018-12-05 23:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:20:00,C18184,Bath Road North,2018-12-05 23:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:25:00,C18184,Bath Road North,2018-12-05 23:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:30:00,C18184,Bath Road North,2018-12-05 23:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:35:00,C18184,Bath Road North,2018-12-05 23:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:40:00,C18184,Bath Road North,2018-12-05 23:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:45:00,C18184,Bath Road North,2018-12-05 23:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:50:00,C18184,Bath Road North,2018-12-05 23:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-05 23:55:00,C18184,Bath Road North,2018-12-05 23:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:00:00,C18184,Bath Road North,2018-12-06 00:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:05:00,C18184,Bath Road North,2018-12-06 00:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:10:00,C18184,Bath Road North,2018-12-06 00:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:15:00,C18184,Bath Road North,2018-12-06 00:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:20:00,C18184,Bath Road North,2018-12-06 00:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:25:00,C18184,Bath Road North,2018-12-06 00:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:30:00,C18184,Bath Road North,2018-12-06 00:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 00:35:00,C18184,Bath Road North,2018-12-06 00:35:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 00:40:00,C18184,Bath Road North,2018-12-06 00:40:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 00:45:00,C18184,Bath Road North,2018-12-06 00:45:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 00:50:00,C18184,Bath Road North,2018-12-06 00:50:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 00:55:00,C18184,Bath Road North,2018-12-06 00:55:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 01:00:00,C18184,Bath Road North,2018-12-06 01:00:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 01:05:00,C18184,Bath Road North,2018-12-06 01:05:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 01:10:00,C18184,Bath Road North,2018-12-06 01:10:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 01:15:00,C18184,Bath Road North,2018-12-06 01:15:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 01:20:00,C18184,Bath Road North,2018-12-06 01:20:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 01:25:00,C18184,Bath Road North,2018-12-06 01:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:30:00,C18184,Bath Road North,2018-12-06 01:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:35:00,C18184,Bath Road North,2018-12-06 01:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:40:00,C18184,Bath Road North,2018-12-06 01:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:45:00,C18184,Bath Road North,2018-12-06 01:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:50:00,C18184,Bath Road North,2018-12-06 01:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 01:55:00,C18184,Bath Road North,2018-12-06 01:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:00:00,C18184,Bath Road North,2018-12-06 02:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:05:00,C18184,Bath Road North,2018-12-06 02:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:10:00,C18184,Bath Road North,2018-12-06 02:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:15:00,C18184,Bath Road North,2018-12-06 02:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:20:00,C18184,Bath Road North,2018-12-06 02:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 02:25:00,C18184,Bath Road North,2018-12-06 02:25:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 02:30:00,C18184,Bath Road North,2018-12-06 02:30:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 02:35:00,C18184,Bath Road North,2018-12-06 02:35:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 02:40:00,C18184,Bath Road North,2018-12-06 02:40:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 02:45:00,C18184,Bath Road North,2018-12-06 02:45:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 02:50:00,C18184,Bath Road North,2018-12-06 02:50:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 02:55:00,C18184,Bath Road North,2018-12-06 02:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:00:00,C18184,Bath Road North,2018-12-06 03:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:05:00,C18184,Bath Road North,2018-12-06 03:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:10:00,C18184,Bath Road North,2018-12-06 03:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:15:00,C18184,Bath Road North,2018-12-06 03:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:20:00,C18184,Bath Road North,2018-12-06 03:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:25:00,C18184,Bath Road North,2018-12-06 03:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:30:00,C18184,Bath Road North,2018-12-06 03:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:35:00,C18184,Bath Road North,2018-12-06 03:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:40:00,C18184,Bath Road North,2018-12-06 03:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:45:00,C18184,Bath Road North,2018-12-06 03:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:50:00,C18184,Bath Road North,2018-12-06 03:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 03:55:00,C18184,Bath Road North,2018-12-06 03:55:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:00:00,C18184,Bath Road North,2018-12-06 04:00:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:05:00,C18184,Bath Road North,2018-12-06 04:05:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:10:00,C18184,Bath Road North,2018-12-06 04:10:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:15:00,C18184,Bath Road North,2018-12-06 04:15:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:20:00,C18184,Bath Road North,2018-12-06 04:20:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:25:00,C18184,Bath Road North,2018-12-06 04:25:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:30:00,C18184,Bath Road North,2018-12-06 04:30:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:35:00,C18184,Bath Road North,2018-12-06 04:35:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:40:00,C18184,Bath Road North,2018-12-06 04:40:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:45:00,C18184,Bath Road North,2018-12-06 04:45:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:50:00,C18184,Bath Road North,2018-12-06 04:50:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 04:55:00,C18184,Bath Road North,2018-12-06 04:55:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:00:00,C18184,Bath Road North,2018-12-06 05:00:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:05:00,C18184,Bath Road North,2018-12-06 05:05:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:10:00,C18184,Bath Road North,2018-12-06 05:10:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:15:00,C18184,Bath Road North,2018-12-06 05:15:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:20:00,C18184,Bath Road North,2018-12-06 05:20:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:25:00,C18184,Bath Road North,2018-12-06 05:25:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:30:00,C18184,Bath Road North,2018-12-06 05:30:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 05:35:00,C18184,Bath Road North,2018-12-06 05:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 05:40:00,C18184,Bath Road North,2018-12-06 05:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 05:45:00,C18184,Bath Road North,2018-12-06 05:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 05:50:00,C18184,Bath Road North,2018-12-06 05:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 05:55:00,C18184,Bath Road North,2018-12-06 05:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:00:00,C18184,Bath Road North,2018-12-06 06:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:05:00,C18184,Bath Road North,2018-12-06 06:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:10:00,C18184,Bath Road North,2018-12-06 06:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:15:00,C18184,Bath Road North,2018-12-06 06:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:20:00,C18184,Bath Road North,2018-12-06 06:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:25:00,C18184,Bath Road North,2018-12-06 06:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:30:00,C18184,Bath Road North,2018-12-06 06:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:35:00,C18184,Bath Road North,2018-12-06 06:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:40:00,C18184,Bath Road North,2018-12-06 06:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:45:00,C18184,Bath Road North,2018-12-06 06:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:50:00,C18184,Bath Road North,2018-12-06 06:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 06:55:00,C18184,Bath Road North,2018-12-06 06:55:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:00:00,C18184,Bath Road North,2018-12-06 07:00:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:05:00,C18184,Bath Road North,2018-12-06 07:05:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:10:00,C18184,Bath Road North,2018-12-06 07:10:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:15:00,C18184,Bath Road North,2018-12-06 07:15:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:20:00,C18184,Bath Road North,2018-12-06 07:20:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:25:00,C18184,Bath Road North,2018-12-06 07:25:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:30:00,C18184,Bath Road North,2018-12-06 07:30:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:35:00,C18184,Bath Road North,2018-12-06 07:35:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:40:00,C18184,Bath Road North,2018-12-06 07:40:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:45:00,C18184,Bath Road North,2018-12-06 07:45:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:50:00,C18184,Bath Road North,2018-12-06 07:50:00,0,0.00,false,Spaces,50.717436,-1.873769
2018-12-06 07:55:00,C18184,Bath Road North,2018-12-06 07:55:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:00:00,C18184,Bath Road North,2018-12-06 08:00:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:05:00,C18184,Bath Road North,2018-12-06 08:05:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:10:00,C18184,Bath Road North,2018-12-06 08:10:00,3,2.73,false,Spaces,50.717436,-1.873769
2018-12-06 08:15:00,C18184,Bath Road North,2018-12-06 08:15:00,4,3.64,false,Spaces,50.717436,-1.873769
2018-12-06 08:20:00,C18184,Bath Road North,2018-12-06 08:20:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:25:00,C18184,Bath Road North,2018-12-06 08:25:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:30:00,C18184,Bath Road North,2018-12-06 08:30:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:35:00,C18184,Bath Road North,2018-12-06 08:35:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:40:00,C18184,Bath Road North,2018-12-06 08:40:00,3,2.73,false,Spaces,50.717436,-1.873769
2018-12-06 08:45:00,C18184,Bath Road North,2018-12-06 08:45:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:50:00,C18184,Bath Road North,2018-12-06 08:50:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 08:55:00,C18184,Bath Road North,2018-12-06 08:55:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:00:00,C18184,Bath Road North,2018-12-06 09:00:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:05:00,C18184,Bath Road North,2018-12-06 09:05:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:10:00,C18184,Bath Road North,2018-12-06 09:10:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:15:00,C18184,Bath Road North,2018-12-06 09:15:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:20:00,C18184,Bath Road North,2018-12-06 09:20:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:25:00,C18184,Bath Road North,2018-12-06 09:25:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 09:30:00,C18184,Bath Road North,2018-12-06 09:30:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 09:35:00,C18184,Bath Road North,2018-12-06 09:35:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 09:40:00,C18184,Bath Road North,2018-12-06 09:40:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:45:00,C18184,Bath Road North,2018-12-06 09:45:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:50:00,C18184,Bath Road North,2018-12-06 09:50:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 09:55:00,C18184,Bath Road North,2018-12-06 09:55:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 10:00:00,C18184,Bath Road North,2018-12-06 10:00:00,2,1.82,false,Spaces,50.717436,-1.873769
2018-12-06 10:05:00,C18184,Bath Road North,2018-12-06 10:05:00,1,0.91,false,Spaces,50.717436,-1.873769
2018-12-06 10:10:00,C18184,Bath Road North,2018-12-06 10:10:00,3,2.73,false,Spaces,50.717436,-1.873769
2018-12-06 10:15:00,C18184,Bath Road North,2018-12-06 10:15:00,4,3.64,false,Spaces,50.717436,-1.873769
2018-12-06 10:20:00,C18184,Bath Road North,2018-12-06 10:20:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-06 10:25:00,C18184,Bath Road North,2018-12-06 10:25:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-06 10:30:00,C18184,Bath Road North,2018-12-06 10:30:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-06 10:35:00,C18184,Bath Road North,2018-12-06 10:35:00,6,5.45,false,Spaces,50.717436,-1.873769
2018-12-06 10:40:00,C18184,Bath Road North,2018-12-06 10:40:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-06 10:45:00,C18184,Bath Road North,2018-12-06 10:45:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-06 10:50:00,C18184,Bath Road North,2018-12-06 10:50:00,5,4.55,false,Spaces,50.717436,-1.873769
2018-12-06 10:55:00,C18184,Bath Road North,2018-12-06 10:55:00,6,5.45,false,Spaces,50.717436,-1.873769
2018-12-06 11:00:00,C18184,Bath Road North,2018-12-06 11:00:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-06 11:05:00,C18184,Bath Road North,2018-12-06 11:05:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 11:10:00,C18184,Bath Road North,2018-12-06 11:10:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 11:15:00,C18184,Bath Road North,2018-12-06 11:15:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 11:20:00,C18184,Bath Road North,2018-12-06 11:20:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 11:25:00,C18184,Bath Road North,2018-12-06 11:25:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 11:30:00,C18184,Bath Road North,2018-12-06 11:30:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 11:35:00,C18184,Bath Road North,2018-12-06 11:35:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 11:40:00,C18184,Bath Road North,2018-12-06 11:40:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 11:45:00,C18184,Bath Road North,2018-12-06 11:45:00,11,10.00,false,Spaces,50.717436,-1.873769
2018-12-06 11:50:00,C18184,Bath Road North,2018-12-06 11:50:00,11,10.00,false,Spaces,50.717436,-1.873769
2018-12-06 11:55:00,C18184,Bath Road North,2018-12-06 11:55:00,12,10.91,false,Spaces,50.717436,-1.873769
2018-12-06 12:00:00,C18184,Bath Road North,2018-12-06 12:00:00,12,10.91,false,Spaces,50.717436,-1.873769
2018-12-06 12:05:00,C18184,Bath Road North,2018-12-06 12:05:00,12,10.91,false,Spaces,50.717436,-1.873769
2018-12-06 12:10:00,C18184,Bath Road North,2018-12-06 12:10:00,12,10.91,false,Spaces,50.717436,-1.873769
2018-12-06 12:15:00,C18184,Bath Road North,2018-12-06 12:15:00,13,11.82,false,Spaces,50.717436,-1.873769
2018-12-06 12:20:00,C18184,Bath Road North,2018-12-06 12:20:00,13,11.82,false,Spaces,50.717436,-1.873769
2018-12-06 12:25:00,C18184,Bath Road North,2018-12-06 12:25:00,15,13.64,false,Spaces,50.717436,-1.873769
2018-12-06 12:30:00,C18184,Bath Road North,2018-12-06 12:30:00,16,14.55,false,Spaces,50.717436,-1.873769
2018-12-06 12:35:00,C18184,Bath Road North,2018-12-06 12:35:00,17,15.45,false,Spaces,50.717436,-1.873769
2018-12-06 12:40:00,C18184,Bath Road North,2018-12-06 12:40:00,15,13.64,false,Spaces,50.717436,-1.873769
2018-12-06 12:45:00,C18184,Bath Road North,2018-12-06 12:45:00,12,10.91,false,Spaces,50.717436,-1.873769
2018-12-06 12:50:00,C18184,Bath Road North,2018-12-06 12:50:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 12:55:00,C18184,Bath Road North,2018-12-06 12:55:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 13:00:00,C18184,Bath Road North,2018-12-06 13:00:00,11,10.00,false,Spaces,50.717436,-1.873769
2018-12-06 13:05:00,C18184,Bath Road North,2018-12-06 13:05:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 13:10:00,C18184,Bath Road North,2018-12-06 13:10:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 13:15:00,C18184,Bath Road North,2018-12-06 13:15:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 13:20:00,C18184,Bath Road North,2018-12-06 13:20:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 13:25:00,C18184,Bath Road North,2018-12-06 13:25:00,9,8.18,false,Spaces,50.717436,-1.873769
2018-12-06 13:30:00,C18184,Bath Road North,2018-12-06 13:30:00,10,9.09,false,Spaces,50.717436,-1.873769
2018-12-06 13:35:00,C18184,Bath Road North,2018-12-06 13:35:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-06 13:40:00,C18184,Bath Road North,2018-12-06 13:40:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-06 13:45:00,C18184,Bath Road North,2018-12-06 13:45:00,7,6.36,false,Spaces,50.717436,-1.873769
2018-12-06 13:50:00,C18184,Bath Road North,2018-12-06 13:50:00,7,6.36,false,Spaces,50.717436,-1.873769
